Name,organizationId,appId,Status,Status Time
ABC - The Roofing Experts,surefire-local,abc-the-roofing-experts,Live,2022-11-30T16:11:09.158Z
Ability Roofing Solutions,surefire-local,ability-roofing-solutions,Ready for Install,2022-11-30T16:11:16.147Z
ABLE Roofing,surefire-local,able-roofing,Live,2022-09-29T19:20:57.365Z
Able Roofing & Construction,surefire-local,able-roofing-and-construction-qfbjv,Cancelled,2023-03-13T21:06:33.369Z
Above Air Inc,surefire-local,above-air-inc,Ready for Install,2022-11-30T16:11:33.143Z
Above Quality Roofing,surefire-local,above-quality-roofing,Live,2022-11-30T16:11:38.820Z
Absolute Contracting Plus,surefire-local,absolute-contracting-plus,Cancelled,2023-03-13T21:12:44.296Z
Absolute Floors,surefire-local,absolute-floors,Ready for Install,2022-11-30T16:11:44.088Z
Absolute Restorations,surefire-local,absolute-restorations,Cancelled,2023-03-13T21:11:57.905Z
Abundant Solar LLC,surefire-local,abundant-solar-llc-dtzrh,Live,2023-01-30T17:45:13.467Z
A/C & Refrigeration,surefire-local,ac-and-refrigeration,Live,2022-11-30T16:11:53.476Z
AC Works and Refrigeration,surefire-local,ac-works-and-refrigeration,Live,2022-11-30T16:11:59.730Z
Accent Roofing Company & Construction,surefire-local,accent-roofing-company-and-construction,Cancelled,2023-03-13T21:19:02.259Z
Ace Home Improvements,surefire-local,ace-home-improvements-rshp6,Live,2022-11-30T16:12:16.224Z
Ace Lakhani Law Firm,surefire-local,ace-lakhani-law-firm,Cancelled,2023-03-13T21:21:25.819Z
Aces Seamless Gutters LLC,surefire-local,aces-seamless-gutters-llc,Live,2023-01-30T17:46:05.894Z
Acorn Roofing,surefire-local,acorn-roofing,Live,2023-02-28T14:40:29.316Z
Adamson Roofing Company,surefire-local,adamson-roofing-company,Live,2022-11-30T16:12:27.461Z
Add Roof Life,surefire-local,add-roof-life-fyuez,Live,2022-12-20T05:09:36.993Z
Adele Roofing And Construction LLC,surefire-local,adele-roofing-and-construction-llc,Ready for Install,2023-02-14T20:30:36.789Z
Advanced Roofing,surefire-local,advanced-roofing,Cancelled,2023-03-13T21:24:04.090Z
