Name,organizationId,appId,Link,Status,Status Time
WHGB 96.5/95.3 & 1400,Cumulus-Media,whgb-965953--1400,https://studio.xapp.ai/Cumulus-Media/whgb-965953--1400,Live: Requires Cert,1970-01-19T06:09:47.363Z
WICC 600,Cumulus-Media,wicc-600,https://studio.xapp.ai/Cumulus-Media/wicc-600,Live,2017-09-29T18:49:31.139Z
Wild 102.9,Cumulus-Media,wild-1029,https://studio.xapp.ai/Cumulus-Media/wild-1029,Live,2017-09-29T18:21:33.401Z
WiLD 104-9,Cumulus-Media,wild-104-9,https://studio.xapp.ai/Cumulus-Media/wild-104-9,Live,2017-09-29T19:01:57.965Z
Wildcats Radio 1290 AM,Cumulus-Media,wildcats-radio-1290-am,https://studio.xapp.ai/Cumulus-Media/wildcats-radio-1290-am,Live,2018-02-13T16:57:43.224Z
WINK 104,Cumulus-Media,wink-104,https://studio.xapp.ai/Cumulus-Media/wink-104,Live,2017-10-17T13:35:51.412Z
WIVK-FM,Cumulus-Media,wivk-fm,https://studio.xapp.ai/Cumulus-Media/wivk-fm,Live,2017-09-29T18:45:53.079Z
WIVK-FM,Cumulus-Media,wivk-fm-XbNKa,https://studio.xapp.ai/Cumulus-Media/wivk-fm-XbNKa,Live,2018-01-02T16:49:32.349Z
WJBC,Cumulus-Media,wjbc,https://studio.xapp.ai/Cumulus-Media/wjbc,Live,2017-09-29T18:50:09.843Z
WJR-AM,Cumulus-Media,wjr-am,https://studio.xapp.ai/Cumulus-Media/wjr-am,Live,2017-09-29T18:35:38.711Z
WLS-AM 890,Cumulus-Media,wls-am-890,https://studio.xapp.ai/Cumulus-Media/wls-am-890,Live,2017-09-29T18:40:17.071Z
WLZN 92.3,Cumulus-Media,wlzn-923,https://studio.xapp.ai/Cumulus-Media/wlzn-923,Live,2017-09-29T19:03:37.129Z
WMAL 105.9 FM,Cumulus-Media,wmal-1059-fmam630,https://studio.xapp.ai/Cumulus-Media/wmal-1059-fmam630,Live,2019-07-02T14:42:11.811Z
WOGB,Cumulus-Media,wogb,https://studio.xapp.ai/Cumulus-Media/wogb,Live,2017-10-25T17:40:05.659Z
WRQX The Patriot,Cumulus-Media,wrqx-the-patriot,https://studio.xapp.ai/Cumulus-Media/wrqx-the-patriot,Live,2021-06-09T15:50:40.997Z
WRRX 106.1,Cumulus-Media,wrrx-1061,https://studio.xapp.ai/Cumulus-Media/wrrx-1061,Live,2017-09-29T19:03:19.832Z
NewsTalk 93.9 / WSBA 910,Cumulus-Media,wsba-910,https://studio.xapp.ai/Cumulus-Media/wsba-910,Live,2017-10-25T17:41:19.365Z
WTN,Cumulus-Media,wtn,https://studio.xapp.ai/Cumulus-Media/wtn,Live,2017-09-29T18:40:30.375Z
WVIB 100.1,Cumulus-Media,wvib-1001,https://studio.xapp.ai/Cumulus-Media/wvib-1001,Live,2018-05-29T16:58:02.022Z
WWQQ 101.3,Cumulus-Media,wwqq-1013,https://studio.xapp.ai/Cumulus-Media/wwqq-1013,Live,2018-05-29T17:00:21.804Z
CBS Sports 1430,Cumulus-Media,wxnt-cbs-1430,https://studio.xapp.ai/Cumulus-Media/wxnt-cbs-1430,Live: Requires Cert,1970-01-19T06:09:47.070Z
WYNN 106.3,Cumulus-Media,wynn-1063,https://studio.xapp.ai/Cumulus-Media/wynn-1063,Live,2017-09-29T18:55:25.442Z
X1051,Cumulus-Media,x1051,https://studio.xapp.ai/Cumulus-Media/x1051,Live,2017-09-29T18:37:29.009Z
Xtra Sports 1300,Cumulus-Media,xtra-sports-1300,https://studio.xapp.ai/Cumulus-Media/xtra-sports-1300,Live,2017-09-29T19:03:47.197Z
Y-103,Cumulus-Media,y-103,https://studio.xapp.ai/Cumulus-Media/y-103,Live,2017-10-17T13:36:57.615Z
Y101,Cumulus-Media,y101,https://studio.xapp.ai/Cumulus-Media/y101,Live,2017-09-29T18:40:38.197Z
Y102 Montgomery,Cumulus-Media,y102-montgomery,https://studio.xapp.ai/Cumulus-Media/y102-montgomery,Live,2017-11-27T19:06:04.844Z
Z 92.3 Peoria,Cumulus-Media,z-923-peoria,https://studio.xapp.ai/Cumulus-Media/z-923-peoria,Live,2020-03-03T17:30:25.125Z
Z 93 Jamz,Cumulus-Media,z-93-jamz,https://studio.xapp.ai/Cumulus-Media/z-93-jamz,Live,2017-09-29T18:48:36.971Z
Z 93.7,Cumulus-Media,z-937,https://studio.xapp.ai/Cumulus-Media/z-937,Live,2017-09-29T18:38:12.986Z
Z-Rock 103,Cumulus-Media,z-rock-103,https://studio.xapp.ai/Cumulus-Media/z-rock-103,Live,2017-09-29T18:25:18.061Z
Z102.3,Cumulus-Media,z1023,https://studio.xapp.ai/Cumulus-Media/z1023,Live,2017-09-29T18:21:39.937Z
Z92.7,Cumulus-Media,z927,https://studio.xapp.ai/Cumulus-Media/z927,Live,2018-06-13T15:42:36.387Z
Z93,Cumulus-Media,z93,https://studio.xapp.ai/Cumulus-Media/z93,Archived,2020-07-28T19:22:12.118Z
Z93,Cumulus-Media,z93-lafeo,https://studio.xapp.ai/Cumulus-Media/z93-lafeo,Live,2019-08-02T14:09:03.176Z
Z96,Cumulus-Media,z96,https://studio.xapp.ai/Cumulus-Media/z96,Live,2017-09-29T19:03:31.216Z
